Car,Location,Fuel,Transmission,Owner,ODO,Age,Mileage,Engine,Power,Seats,SP,CP
Honda Jazz V,Chennai,Petrol,Manual,First,46000,12,15.625,1199.0,88.7,5.0,4.5,8.61
Toyota Innova Crysta 2.8 GX AT 8S,Mumbai,Diesel,Automatic,First,36000,7,11.36,2755.0,171.5,8.0,17.5,21.0
Maruti Ciaz Zeta,Kochi,Petrol,Manual,First,25692,5,21.56,1462.0,103.25,5.0,9.95,10.65
Mitsubishi Pajero Sport 4X4,Delhi,Diesel,Manual,First,110000,9,13.5,2477.0,175.56,7.0,15.0,32.01
BMW 3 Series 320d,Kochi,Diesel,Automatic,First,32982,9,22.69,1995.0,190.0,5.0,18.55,47.87
Honda WRV i-VTEC VX,Kochi,Petrol,Manual,First,37430,5,17.5,1199.0,88.7,5.0,9.9,10.57
Volkswagen Vento 1.6 Highline,Coimbatore,Petrol,Manual,Second,55431,9,16.09,1598.0,103.5,5.0,6.98,12.33
Maruti Vitara Brezza ZDi Plus,Kochi,Diesel,Manual,First,50075,5,24.3,1248.0,88.5,5.0,8.63,11.12
Hyundai Elantra 2.0 SX Option AT,Bangalore,Petrol,Automatic,First,46374,9,14.62,1999.0,149.92,5.0,8.85,23.64
Toyota Innova Crysta 2.7 GX MT,Bangalore,Petrol,Manual,First,70704,11,11.25,2694.0,163.7,7.0,10.95,18.64
Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,Diesel,Manual,First,22000,6,13.68,2393.0,147.8,8.0,16.5,19.34
Mercedes-Benz C-Class Progressive C 220d,Coimbatore,Diesel,Automatic,First,15369,4,0.0,1950.0,194.0,5.0,35.67,49.14
Hyundai Creta 1.4 E Plus Diesel,Mumbai,Diesel,Manual,First,13000,5,22.1,1396.0,88.7,5.0,10.5,11.81
Nissan Terrano XV D Pre,Kochi,Diesel,Manual,First,56066,8,19.64,1461.0,108.5,5.0,6.92,16.65
Tata Zest Revotron 1.2T XE,Pune,Petrol,Manual,First,70000,6,17.57,1193.0,88.7,5.0,4.5,6.67
Datsun GO Plus T Petrol,Pune,Petrol,Manual,First,32851,6,19.83,1198.0,67.0,7.0,3.95,6.45
Toyota Etios Liva 1.2 G,Ahmedabad,Petrol,Manual,First,53000,9,17.71,1197.0,78.9,5.0,3.9,6.41
Toyota Innova Crysta 2.8 ZX AT,Mumbai,Diesel,Automatic,First,30000,6,11.36,2755.0,171.5,7.0,19.25,27.0
Maruti Eeco 5 Seater AC,Coimbatore,Petrol,Manual,First,38053,6,15.1,1196.0,73.0,5.0,3.91,5.13
BMW 3 Series 320d Luxury Line,Mumbai,Diesel,Automatic,First,56087,8,22.69,1995.0,190.0,5.0,20.75,54.43
Nissan Micra XV CVT,Coimbatore,Petrol,Automatic,First,39882,7,19.15,1198.0,75.94,5.0,6.55,9.51
Maruti Vitara Brezza VDi,Mumbai,Diesel,Manual,First,55000,7,24.3,1248.0,88.5,5.0,7.5,9.96
Hyundai Verna CRDi 1.6 SX Option,Kolkata,Diesel,Manual,First,10250,5,22.0,1582.0,126.2,5.0,10.95,14.44
Maruti Alto K10 VXI,Hyderabad,Petrol,Manual,First,88500,9,24.07,998.0,67.1,5.0,2.6,4.53
Mercedes-Benz SLC 43 AMG,Kolkata,Petrol,Automatic,First,13372,6,19.0,2996.0,362.07,2.0,54.0,95.04
Hyundai Verna VTVT 1.6 AT SX Plus,Kochi,Petrol,Automatic,First,12645,4,17.0,1591.0,121.3,5.0,11.5,13.49
Audi RS5 Coupe,Mumbai,Petrol,Automatic,First,23000,10,11.05,2894.0,444.0,4.0,37.0,128.0
BMW 3 Series Luxury Line,Mumbai,Diesel,Automatic,First,48000,9,21.76,1995.0,190.0,5.0,26.5,60.88
Hyundai Grand i10 1.2 Kappa Asta,Kolkata,Petrol,Manual,First,1000,4,18.9,1197.0,81.86,5.0,6.5,7.39
BMW 5 Series 520d Luxury Line,Hyderabad,Diesel,Automatic,First,51000,9,22.48,1995.0,190.0,5.0,33.5,69.47
Maruti Baleno Alpha,Kochi,Petrol,Manual,First,24773,6,21.4,1197.0,83.1,5.0,7.5,8.78
Maruti Ertiga ZDI,Mumbai,Diesel,Manual,First,33000,7,25.47,1248.0,88.5,7.0,8.5,12.74
Mahindra NuvoSport N6,Chennai,Diesel,Manual,Second,29000,6,17.45,1493.0,100.0,7.0,6.5,10.52
Maruti Vitara Brezza ZDi Plus Dual Tone,Mumbai,Diesel,Manual,First,20000,7,24.3,1248.0,88.5,5.0,9.0,11.98
Honda Amaze S Diesel,Kolkata,Diesel,Manual,First,45000,10,27.4,1498.0,98.6,5.0,3.25,8.54
Skoda Superb Style 1.8 TSI AT,Hyderabad,Petrol,Automatic,First,26000,6,14.67,1798.0,177.46,5.0,26.0,33.58
Mahindra Verito 1.5 D4 BSIV,Hyderabad,Diesel,Manual,First,107000,10,21.03,1461.0,65.0,5.0,3.7,9.12
Maruti Wagon R VXI,Kolkata,Petrol,Manual,First,32000,10,22.5,998.0,67.04,5.0,2.65,5.29
Mini Cooper Convertible S,Kochi,Petrol,Automatic,First,26327,6,16.82,1998.0,189.08,4.0,35.67,44.28
Toyota Innova Crysta 2.8 GX AT,Kochi,Diesel,Automatic,First,14165,4,11.36,2755.0,171.5,7.0,19.64,20.74
Honda City i-VTEC V,Kolkata,Petrol,Manual,First,32572,12,17.4,1497.0,117.3,5.0,3.87,11.74
Toyota Innova Crysta 2.4 ZX MT,Pune,Diesel,Manual,First,43000,6,13.68,2393.0,147.8,7.0,18.65,25.52
Hyundai Verna CRDi 1.6 SX,Hyderabad,Diesel,Manual,First,143275,15,22.0,1582.0,126.2,5.0,2.6,14.07
Mercedes-Benz GLE 350d,Coimbatore,Diesel,Automatic,First,29819,6,11.57,2987.0,254.79,5.0,61.29,95.13
Tata Zest Quadrajet 1.3 75PS XE,Pune,Diesel,Manual,First,121900,6,22.95,1248.0,74.0,5.0,3.75,8.34
Tata Zest Quadrajet 1.3 75PS XE,Pune,Diesel,Manual,First,45000,5,22.95,1248.0,74.0,5.0,5.25,8.34
Honda Jazz VX,Delhi,Petrol,Manual,First,62178,8,18.2,1199.0,88.7,5.0,4.85,8.85
Toyota Innova Crysta 2.4 ZX MT,Chennai,Diesel,Manual,First,48000,7,13.68,2393.0,147.8,7.0,20.25,25.4
Honda City i-VTEC CVT ZX,Mumbai,Petrol,Automatic,First,15000,6,18.0,1497.0,117.3,5.0,12.69,16.67
Mercedes-Benz GLE 250d,Hyderabad,Diesel,Automatic,First,29000,6,17.9,2143.0,201.15,5.0,57.0,79.43
Honda Brio 1.2 VX MT,Kochi,Petrol,Manual,First,91931,11,18.5,1198.0,86.8,5.0,3.13,6.62
Audi Q7 45 TDI Quattro Technology,Coimbatore,Diesel,Automatic,First,97430,6,14.75,2967.0,245.0,7.0,62.67,104.0
Maruti Vitara Brezza LDi,Chennai,Diesel,Manual,First,45000,7,24.3,1248.0,88.5,5.0,7.15,9.12
BMW 3 Series Luxury Line,Kochi,Diesel,Automatic,Second,30717,8,21.76,1995.0,190.0,5.0,25.99,58.67
Skoda Octavia RS,Jaipur,Petrol,Automatic,First,100000,18,14.45,1984.0,227.0,5.0,2.05,28.37
Maruti Alto K10 VXI,Pune,Petrol,Manual,First,30000,6,24.07,998.0,67.1,5.0,3.75,4.48
Jaguar XF 2.0 Diesel Portfolio,Hyderabad,Diesel,Automatic,First,21000,6,19.33,1999.0,177.0,5.0,52.0,72.64
Skoda Superb L&K 1.8 TSI AT,Kochi,Petrol,Automatic,First,13747,4,14.67,1798.0,177.46,5.0,27.3,36.15
Mini Clubman Cooper S,Pune,Petrol,Manual,First,8350,6,13.8,1998.0,192.0,5.0,35.0,44.59
Maruti Vitara Brezza ZDi Plus,Hyderabad,Diesel,Manual,First,39000,6,24.3,1248.0,88.5,5.0,9.49,12.0
Honda BRV i-VTEC V CVT,Kochi,Petrol,Automatic,First,35676,6,16.0,1497.0,117.3,7.0,9.48,14.65
Jaguar XE Portfolio,Mumbai,Petrol,Automatic,First,9000,6,13.5,1999.0,246.74,5.0,34.5,53.72
Mitsubishi Pajero Sport 4X2 AT DualTone BlackTop,Hyderabad,Diesel,Automatic,First,12000,5,13.5,2477.0,175.56,7.0,28.0,33.91
BMW 3 Series Luxury Line,Mumbai,Diesel,Automatic,First,41000,8,21.76,1995.0,190.0,5.0,25.5,60.88
Honda BR-V i-VTEC S MT,Pune,Petrol,Manual,First,9000,6,15.4,1497.0,117.3,7.0,8.5,12.51
Hyundai i20 Active SX Petrol,Jaipur,Petrol,Manual,First,40250,6,17.19,1197.0,81.86,5.0,6.9,9.74
Mercedes-Benz GLC 43 AMG Coupe,Coimbatore,Petrol,Automatic,First,22397,5,11.5,2996.0,367.0,5.0,70.99,95.38
Audi A6 35 TFSI Matrix,Mumbai,Petrol,Automatic,First,47000,7,15.26,1798.0,187.74,5.0,24.5,60.59
Mini Cooper Convertible S,Mumbai,Petrol,Automatic,First,11900,9,16.82,1998.0,189.08,4.0,28.5,44.28
Mahindra Bolero ZLX,Coimbatore,Diesel,Manual,First,82756,7,15.96,2523.0,62.1,7.0,7.7,11.28
Volkswagen Vento 1.6 Comfortline,Mumbai,Petrol,Manual,Second,15000,6,16.09,1598.0,103.5,5.0,7.1,11.48
Maruti S-Cross Delta DDiS 200 SH,Delhi,Diesel,Manual,First,12923,5,25.1,1248.0,88.5,5.0,8.92,11.26
Audi Q3 35 TDI Quattro Premium Plus,Coimbatore,Diesel,Automatic,First,86642,7,15.17,1968.0,181.0,5.0,20.37,43.65
BMW 3 Series Luxury Line,Bangalore,Diesel,Automatic,First,19235,7,21.76,1995.0,190.0,5.0,36.5,62.07
Mercedes-Benz E-Class E 220 d,Kochi,Petrol,Automatic,First,26405,5,12.6,1950.0,191.34,5.0,51.43,86.97
Mercedes-Benz GLS 350d 4MATIC,Pune,Diesel,Automatic,First,129000,6,11.0,2987.0,258.0,7.0,56.0,100.0
Maruti Wagon R LXI,Ahmedabad,Petrol,Manual,First,30000,11,22.5,998.0,67.04,5.0,3.3,4.74
Hyundai Creta 1.6 SX,Chennai,Petrol,Manual,First,69434,7,15.8,1591.0,121.3,5.0,8.0,14.84
Mercedes-Benz New C-Class Progressive C 200,Kochi,Petrol,Automatic,First,13190,4,0.0,1950.0,181.43,5.0,38.99,49.49
BMW X1 sDrive 20d xLine,Coimbatore,Diesel,Automatic,First,31645,6,20.68,1995.0,190.0,5.0,29.4,48.18
Maruti Ertiga ZDI,Pune,Diesel,Manual,Second,105000,10,25.47,1248.0,88.5,7.0,6.75,12.34
Skoda Rapid 1.5 TDI Style,Hyderabad,Diesel,Manual,First,31000,6,21.13,1498.0,108.4,5.0,10.5,15.38
Toyota Innova Crysta 2.8 GX AT,Ahmedabad,Diesel,Automatic,First,100200,7,11.36,2755.0,171.5,7.0,17.0,19.21
Jeep Compass 2.0 Limited,Jaipur,Diesel,Manual,First,29000,5,17.1,1956.0,170.0,5.0,19.0,22.95
Mahindra Bolero ZLX,Jaipur,Diesel,Manual,Second,105000,11,15.96,2523.0,62.1,7.0,6.0,11.15
Volkswagen Polo 1.5 TDI Highline,Coimbatore,Diesel,Manual,First,33558,5,20.14,1498.0,88.0,5.0,8.12,10.32
Toyota Innova Crysta 2.8 ZX AT,Coimbatore,Diesel,Automatic,First,40674,4,11.36,2755.0,171.5,7.0,24.82,28.05
Mercedes-Benz GLC 220d 4MATIC Style,Mumbai,Diesel,Automatic,First,10003,5,17.9,2143.0,170.0,5.0,48.5,59.77
Volkswagen Vento 1.5 TDI Highline AT,Mumbai,Diesel,Automatic,First,25000,7,21.5,1498.0,108.5,5.0,9.45,15.86
Toyota Innova Crysta 2.4 GX MT 8S,Hyderabad,Diesel,Manual,First,52000,6,13.68,2393.0,147.8,8.0,17.5,19.43
Maruti Vitara Brezza ZDi,Pune,Diesel,Manual,First,21558,7,24.3,1248.0,88.5,5.0,8.9,10.65
Mini Cooper 5 DOOR D,Mumbai,Diesel,Automatic,First,11000,7,20.7,1496.0,113.98,5.0,29.5,42.12
Tata Safari Storme VX Varicor 400,Jaipur,Diesel,Manual,First,37000,6,14.1,2179.0,154.0,7.0,11.25,16.95
Honda BR-V i-DTEC VX MT,Kochi,Diesel,Manual,First,32249,6,21.9,1498.0,98.6,7.0,10.79,15.45
Maruti Ignis 1.2 Alpha,Mumbai,Petrol,Manual,First,7000,6,20.89,1197.0,81.8,5.0,5.7,7.87
Maruti Alto K10 VXI,Bangalore,Petrol,Manual,First,64357,12,24.07,998.0,67.1,5.0,2.75,4.7
Honda BRV i-VTEC V CVT,Mumbai,Petrol,Automatic,First,18000,6,16.0,1497.0,117.3,7.0,9.25,15.02
Maruti Vitara Brezza ZDi Plus Dual Tone,Coimbatore,Diesel,Manual,First,18108,6,24.3,1248.0,88.5,5.0,11.31,12.56
Nissan Sunny XV CVT,Kochi,Petrol,Automatic,First,37199,10,17.5,1498.0,99.6,5.0,5.43,11.33
Toyota Innova Crysta 2.4 ZX MT,Bangalore,Diesel,Manual,First,64798,6,13.68,2393.0,147.8,7.0,18.75,26.45
Maruti Dzire AMT ZXI Plus,Hyderabad,Petrol,Automatic,First,13000,6,22.0,1197.0,81.8,5.0,8.5,10.34
Hyundai Grand i10 1.2 CRDi Magna,Kolkata,Diesel,Manual,First,14000,6,24.0,1186.0,73.97,5.0,4.9,7.46
Honda City i-VTEC V,Delhi,Petrol,Manual,Second,55818,9,17.4,1497.0,117.3,5.0,5.7,11.85
Maruti Ertiga VDI,Ahmedabad,Diesel,Manual,First,63939,6,25.47,1248.0,88.5,7.0,7.75,10.41
Maruti Celerio VXI AMT,Delhi,Petrol,Automatic,Second,35214,9,23.1,998.0,67.04,5.0,3.2,5.57
Mini Cooper 5 DOOR D,Hyderabad,Diesel,Automatic,Second,60000,9,20.7,1496.0,113.98,5.0,23.5,42.48
Honda City i-VTEC CVT VX,Bangalore,Petrol,Automatic,First,18955,8,18.0,1497.0,117.3,5.0,10.65,16.04
Honda Jazz VX,Kochi,Petrol,Manual,First,20024,5,18.2,1199.0,88.7,5.0,8.46,9.1
Ford Figo Titanium Diesel,Kolkata,Diesel,Manual,First,72035,8,25.5,1498.0,99.0,5.0,2.5,7.65
Hyundai Creta 1.6 SX,Ahmedabad,Petrol,Manual,First,21000,7,15.8,1591.0,121.3,5.0,10.9,13.74
Maruti Wagon R VXI,Coimbatore,Petrol,Manual,First,72599,8,22.5,998.0,67.04,5.0,4.32,5.72
Mahindra XUV500 W9 AT,Coimbatore,Diesel,Automatic,First,19654,4,14.0,2179.0,155.0,7.0,17.63,21.33
Mercedes-Benz GLE 250d,Mumbai,Diesel,Automatic,First,21000,7,17.9,2143.0,201.15,5.0,56.0,78.76
Honda Amaze VX Diesel,Hyderabad,Diesel,Manual,First,12000,5,27.4,1498.0,98.6,5.0,8.5,10.34
Maruti Alto K10 LXI,Pune,Petrol,Manual,First,49000,9,24.07,998.0,67.1,5.0,2.3,4.29
Volkswagen Ameo 1.5 TDI Highline,Mumbai,Diesel,Manual,First,51000,6,21.66,1498.0,108.62,5.0,6.45,10.04
Mahindra Xylo H4,Chennai,Diesel,Manual,First,215000,7,14.02,2179.0,118.3,7.0,7.5,11.67
Toyota Innova Crysta 2.4 ZX MT,Pune,Diesel,Manual,First,43200,6,13.68,2393.0,147.8,7.0,18.6,25.52
Hyundai Xcent 1.2 CRDi S,Jaipur,Diesel,Manual,First,25302,5,25.4,1186.0,73.97,5.0,5.9,8.56
Toyota Innova Crysta 2.8 ZX AT,Kochi,Diesel,Automatic,First,41736,5,11.36,2755.0,171.5,7.0,19.92,27.0
Renault KWID 1.0 RXT Optional,Jaipur,Petrol,Manual,First,63262,6,21.7,999.0,67.0,5.0,3.25,4.78
Maruti Celerio VXI Optional AMT,Pune,Petrol,Automatic,First,7500,6,23.1,998.0,67.04,5.0,5.0,6.14
Maruti Dzire VXI,Kolkata,Petrol,Manual,First,46687,12,22.0,1197.0,81.8,5.0,2.7,7.3
Datsun redi-GO T Option,Bangalore,Petrol,Manual,First,20487,7,22.7,799.0,53.64,5.0,2.66,4.37
Maruti Eeco 7 Seater Standard,Coimbatore,Petrol,Manual,First,56661,11,15.1,1196.0,73.0,7.0,3.61,4.98
Honda City i-VTEC CVT VX,Mumbai,Petrol,Automatic,First,30000,8,18.0,1497.0,117.3,5.0,8.65,15.29
Jeep Compass 2.0 Limited 4X4,Mumbai,Diesel,Manual,First,52000,6,16.3,1956.0,170.0,5.0,20.0,24.26
Land Rover Range Rover Evoque 2.0 TD4 HSE Dynamic,Kochi,Diesel,Automatic,First,31427,5,15.68,1999.0,177.0,5.0,59.72,75.12
Maruti Baleno Alpha Diesel,Kolkata,Diesel,Manual,First,29000,7,27.39,1248.0,74.0,5.0,6.5,9.53
Mitsubishi Pajero Sport 4X4,Bangalore,Diesel,Manual,First,132000,10,13.5,2477.0,175.56,7.0,12.49,34.6
Toyota Innova Crysta 2.4 ZX MT,Coimbatore,Diesel,Manual,First,92056,5,13.68,2393.0,147.8,7.0,18.39,26.45
Honda Jazz VX Diesel,Mumbai,Diesel,Manual,First,38000,7,27.3,1498.0,98.6,5.0,6.21,11.15
Mercedes-Benz C-Class Progressive C 220d,Mumbai,Diesel,Automatic,First,8682,5,0.0,1950.0,194.0,5.0,39.5,52.26
BMW 5 Series 520d Luxury Line,Mumbai,Diesel,Automatic,First,61240,11,22.48,1995.0,190.0,5.0,17.5,70.43
Renault KWID RXT Optional,Hyderabad,Petrol,Manual,First,1900,5,25.17,799.0,53.3,5.0,4.45,4.8
Ford Ecosport Signature Edition Diesel,Coimbatore,Diesel,Manual,First,23154,4,23.0,1498.0,98.96,5.0,11.65,12.12
Toyota Innova Crysta 2.4 GX MT,Chennai,Diesel,Manual,First,67489,6,13.68,2393.0,147.8,7.0,16.5,19.37
Volkswagen Vento 1.5 TDI Comfortline,Coimbatore,Diesel,Manual,First,56658,9,20.64,1498.0,108.5,5.0,5.39,12.14
Toyota Fortuner 2.8 4WD MT,Kochi,Diesel,Manual,First,105072,10,14.24,2755.0,174.5,7.0,13.28,36.69
Jeep Compass 1.4 Limited Option,Mumbai,Petrol,Automatic,First,4000,6,16.0,1368.0,160.0,5.0,17.75,23.68
Audi A4 35 TDI Technology,Hyderabad,Diesel,Automatic,First,45000,8,18.25,1968.0,187.74,5.0,25.0,55.61
Ford EcoSport 1.5 Petrol Titanium Plus AT,Coimbatore,Petrol,Automatic,First,18385,5,14.8,1497.0,121.36,5.0,12.41,14.1
Maruti S-Cross Zeta DDiS 200 SH,Coimbatore,Diesel,Manual,First,74611,7,25.1,1248.0,88.5,5.0,7.94,13.26
Toyota Innova Crysta 2.8 ZX AT,Bangalore,Diesel,Automatic,First,108000,7,11.36,2755.0,171.5,7.0,20.5,28.05
Maruti Ertiga VDI,Pune,Diesel,Manual,First,130000,7,25.47,1248.0,88.5,7.0,7.0,11.27
Maruti Vitara Brezza ZDi Plus,Kochi,Diesel,Manual,First,34688,4,24.3,1248.0,88.5,5.0,10.49,11.2
Tata Zest Revotron 1.2 XT,Mumbai,Petrol,Manual,First,40000,9,17.57,1193.0,88.7,5.0,3.95,8.56
Maruti Vitara Brezza VDi,Kolkata,Diesel,Manual,First,35000,6,24.3,1248.0,88.5,5.0,6.5,9.46
Mahindra XUV300 W8 Diesel,Chennai,Diesel,Manual,First,97000,11,20.0,1497.0,115.0,5.0,7.25,12.79
Hyundai Verna CRDi 1.6 SX Option,Kochi,Diesel,Manual,First,89614,9,22.0,1582.0,126.2,5.0,6.01,15.57
Tata Hexa XT,Delhi,Diesel,Manual,First,55000,6,17.6,2179.0,153.86,7.0,12.0,19.86
Tata Tiago 1.2 Revotron XZ,Coimbatore,Petrol,Manual,First,9565,5,23.84,1199.0,84.0,5.0,5.88,6.59
Mercedes-Benz E-Class E 220 d,Kochi,Petrol,Automatic,First,20446,5,12.6,1950.0,191.34,5.0,51.35,86.97
Mini Cooper 5 DOOR D,Ahmedabad,Diesel,Automatic,First,34000,9,20.7,1496.0,113.98,5.0,22.0,42.12
Hyundai Grand i10 1.2 Kappa Magna,Delhi,Petrol,Manual,First,8471,6,18.9,1197.0,81.86,5.0,5.0,6.54
Toyota Innova Crysta 2.8 ZX AT,Hyderabad,Diesel,Automatic,First,69000,7,11.36,2755.0,171.5,7.0,19.75,26.56
Renault Duster 110PS Diesel RxZ AMT,Coimbatore,Diesel,Automatic,First,30090,6,19.6,1461.0,108.45,5.0,11.44,15.05
Mahindra Bolero ZLX,Mumbai,Diesel,Manual,First,40448,7,15.96,2523.0,62.1,7.0,3.5,11.01
Maruti Vitara Brezza ZDi,Coimbatore,Diesel,Manual,First,64456,5,24.3,1248.0,88.5,5.0,10.46,11.0
Honda Amaze S Petrol,Kochi,Petrol,Manual,First,51672,7,19.5,1199.0,88.76,5.0,5.68,7.55
Hyundai Grand i10 1.2 Kappa Asta,Hyderabad,Petrol,Manual,First,20000,6,18.9,1197.0,81.86,5.0,5.98,7.82
Hyundai Grand i10 1.2 Kappa Magna,Kochi,Petrol,Manual,First,50234,5,18.9,1197.0,81.86,5.0,4.77,6.32
Hyundai Verna VTVT 1.6 AT SX Option,Mumbai,Petrol,Automatic,First,40600,8,17.0,1591.0,121.3,5.0,7.2,15.14
Hyundai Verna CRDi 1.6 AT SX Option,Ahmedabad,Diesel,Automatic,First,87000,10,22.0,1582.0,126.2,5.0,5.9,15.72
Volvo S60 D4 Momentum,Hyderabad,Diesel,Automatic,First,51000,8,27.03,1969.0,190.0,5.0,25.0,45.67
BMW 3 Series 320d Luxury Line,Chennai,Diesel,Automatic,First,65000,11,22.69,1995.0,190.0,5.0,14.0,54.7
Toyota Innova Crysta 2.4 VX MT,Hyderabad,Diesel,Manual,First,24393,6,13.68,2393.0,147.8,7.0,20.4,22.87
Volkswagen Polo 1.0 MPI Trendline,Hyderabad,Petrol,Manual,First,1000,4,18.78,999.0,75.0,5.0,5.68,6.74
Mitsubishi Pajero Sport 4X4,Mumbai,Diesel,Manual,First,59000,10,13.5,2477.0,175.56,7.0,12.75,33.09
Toyota Corolla Altis 1.8 VL CVT,Delhi,Petrol,Automatic,First,21000,6,14.28,1798.0,138.03,5.0,18.0,23.25
Toyota Corolla Altis 1.4 DG,Ahmedabad,Diesel,Manual,First,52000,11,21.43,1364.0,86.79,5.0,6.5,19.27
Jaguar XE 2.0L Diesel Prestige,Delhi,Diesel,Automatic,First,1000,5,13.6,1999.0,177.0,5.0,40.0,52.77
Mahindra Xylo D4,Chennai,Diesel,Manual,First,85000,7,14.95,2489.0,93.7,7.0,6.15,11.67
Maruti Swift VDI,Kochi,Diesel,Manual,First,34613,6,28.4,1248.0,74.0,5.0,6.24,7.92
Hyundai Xcent 1.2 VTVT S,Bangalore,Petrol,Manual,First,54000,9,20.14,1197.0,81.86,5.0,5.5,7.85
Honda City i-VTEC CVT VX,Kochi,Petrol,Automatic,First,22974,5,18.0,1497.0,117.3,5.0,11.97,15.55
Toyota Fortuner 2.8 2WD MT,Ahmedabad,Diesel,Manual,First,65012,8,14.24,2755.0,174.5,7.0,18.9,32.45
Maruti Eeco 7 Seater Standard,Hyderabad,Petrol,Manual,First,90413,8,15.1,1196.0,73.0,7.0,2.95,4.83
Maruti Swift LDI,Mumbai,Diesel,Manual,First,14000,8,28.4,1248.0,74.0,5.0,5.25,7.13
BMW 5 Series 520d Luxury Line,Coimbatore,Diesel,Automatic,First,44450,11,22.48,1995.0,190.0,5.0,24.68,71.82
BMW X1 M Sport sDrive 20d,Mumbai,Diesel,Automatic,First,31000,7,17.05,1995.0,190.0,5.0,29.5,50.97
Hyundai Verna CRDi 1.4 E,Chennai,Diesel,Manual,Second,121097,15,24.0,1396.0,88.76,5.0,1.9,10.73
Fiat Linea Classic Plus 1.3 Multijet,Jaipur,Diesel,Manual,Second,86000,10,19.5,1248.0,75.0,5.0,2.5,9.5
BMW 3 Series 320d Luxury Line,Kochi,Diesel,Automatic,First,37613,10,22.69,1995.0,190.0,5.0,13.95,52.46
Maruti Ignis 1.2 Delta,Coimbatore,Petrol,Manual,First,16862,4,20.89,1197.0,81.8,5.0,6.06,6.07
Audi Q7 45 TDI Quattro Technology,Mumbai,Diesel,Automatic,First,20002,7,14.75,2967.0,245.0,7.0,67.0,104.0
Maruti Alto K10 VXI,Kolkata,Petrol,Manual,First,2100,5,24.07,998.0,67.1,5.0,3.6,4.33
Hyundai Grand i10 1.2 Kappa Sportz AT,Coimbatore,Petrol,Automatic,First,20667,5,18.9,1197.0,81.86,5.0,7.55,8.63
Hyundai Grand i10 1.2 Kappa Sportz,Kochi,Petrol,Manual,First,18453,4,18.9,1197.0,81.86,5.0,6.17,6.68
Hyundai Verna CRDi 1.6 SX,Hyderabad,Diesel,Manual,First,96578,15,22.0,1582.0,126.2,5.0,2.5,14.07
Renault Duster 110PS Diesel RxZ AMT,Bangalore,Diesel,Automatic,First,45000,7,19.6,1461.0,108.45,5.0,11.5,15.05
Hyundai Grand i10 1.2 Kappa Magna AT,Bangalore,Petrol,Automatic,First,3000,5,18.9,1197.0,81.86,5.0,6.2,7.98
Toyota Innova Crysta 2.8 ZX AT,Kolkata,Diesel,Automatic,First,66618,7,11.36,2755.0,171.5,7.0,15.49,24.82
Tata Zest Revotron 1.2T XM,Mumbai,Petrol,Manual,First,43706,7,17.57,1193.0,88.7,5.0,4.0,7.63
Toyota Innova Crysta 2.4 VX MT,Kochi,Diesel,Manual,First,8899,5,13.68,2393.0,147.8,7.0,19.92,22.86
Ford EcoSport 1.5 Petrol Titanium,Pune,Petrol,Manual,First,17000,5,17.0,1497.0,121.36,5.0,9.2,11.06
Maruti Alto K10 VXI,Hyderabad,Petrol,Manual,First,10000,7,24.07,998.0,67.1,5.0,3.5,4.53
Toyota Corolla Altis 1.8 G,Mumbai,Petrol,Manual,First,93000,13,14.28,1798.0,138.03,5.0,4.5,19.39
Hyundai Elantra 2.0 SX Option AT,Delhi,Petrol,Automatic,First,9500,6,14.62,1999.0,149.92,5.0,16.35,21.77
Hyundai Creta 1.6 SX Automatic Diesel,Chennai,Diesel,Automatic,First,55000,7,17.6,1582.0,126.2,5.0,12.5,18.35
Volkswagen Ameo 1.5 TDI Comfortline,Jaipur,Diesel,Manual,First,58095,7,21.66,1498.0,108.62,5.0,5.8,9.19
