Car,Location,Fuel,Transmission,Owner,ODO,Age,Mileage,Engine,Power,Seats,SP,CP
Tata Zest Revotron 1.2 XT,Kolkata,Petrol,Manual,First,7445,8,17.57,1193.0,88.7,5.0,5.0,8.09
Toyota Corolla Altis 1.8 VL CVT,Kochi,Petrol,Automatic,First,28321,5,14.28,1798.0,138.03,5.0,17.49,23.25
Land Rover Range Rover Sport SE,Kochi,Diesel,Automatic,First,26013,4,12.65,2993.0,255.0,5.0,97.07,139.0
Maruti Dzire AMT ZDI Plus,Hyderabad,Diesel,Automatic,First,28226,6,28.4,1248.0,73.75,5.0,9.15,11.52
Ford EcoSport 1.5 Diesel Titanium Plus,Chennai,Diesel,Manual,First,29200,7,23.0,1498.0,98.96,5.0,7.7,13.23
Tata Zest Quadrajet 1.3 XT,Coimbatore,Diesel,Manual,First,38310,5,20.65,1248.0,88.7,5.0,6.69,10.06
Skoda Rapid 1.5 TDI AT Style,Kolkata,Diesel,Automatic,First,31300,6,21.72,1498.0,108.4,5.0,10.5,15.34
Toyota Innova Crysta 2.4 VX MT 8S,Coimbatore,Diesel,Manual,First,11241,4,13.68,2393.0,147.8,8.0,22.55,24.01
Mahindra Thar CRDe,Jaipur,Diesel,Manual,First,19000,7,16.55,2498.0,105.0,6.0,9.25,11.39
Ford Aspire Titanium Diesel,Coimbatore,Diesel,Manual,First,30279,6,26.1,1498.0,99.0,5.0,7.29,9.79
Mini Cooper 3 DOOR D,Mumbai,Diesel,Automatic,First,20000,7,20.7,1496.0,113.98,4.0,23.5,35.0
Mahindra Verito 1.5 D4 BSIV,Pune,Diesel,Manual,Second,90000,8,21.03,1461.0,65.0,5.0,3.1,9.26
Volkswagen Ameo 1.2 MPI Highline,Coimbatore,Petrol,Manual,First,22389,6,17.0,1198.0,73.75,5.0,7.23,8.68
Land Rover Discovery Sport TD4 HSE 7S,Mumbai,Diesel,Automatic,First,40000,6,12.81,1999.0,148.31,7.0,41.5,66.39
Volkswagen Tiguan 2.0 TDI Highline,Jaipur,Diesel,Automatic,First,50510,6,17.06,1968.0,141.0,5.0,24.9,36.45
Audi Q7 45 TDI Quattro Premium Plus,Kochi,Diesel,Automatic,First,6773,4,14.75,2967.0,245.0,7.0,72.94,91.38
Mahindra Bolero ZLX,Jaipur,Diesel,Manual,First,63000,10,15.96,2523.0,62.1,7.0,5.5,11.15
BMW X1 M Sport sDrive 20d,Kochi,Diesel,Automatic,First,32838,6,17.05,1995.0,190.0,5.0,30.29,50.97
Jaguar XE 2.0L Diesel Prestige,Hyderabad,Diesel,Automatic,First,4000,6,13.6,1999.0,177.0,5.0,38.0,53.41
Maruti Wagon R LXI,Delhi,Petrol,Manual,Second,45631,11,22.5,998.0,67.04,5.0,2.74,4.59
Hyundai Grand i10 1.2 Kappa Magna,Delhi,Petrol,Manual,First,12248,6,18.9,1197.0,81.86,5.0,4.9,6.54
Maruti Alto K10 VXI,Coimbatore,Petrol,Manual,First,48624,12,24.07,998.0,67.1,5.0,3.22,4.7
BMW 5 Series 520d Luxury Line,Kochi,Diesel,Automatic,First,32586,5,22.48,1995.0,190.0,5.0,37.3,67.87
Mercedes-Benz GLE 350d,Coimbatore,Diesel,Automatic,First,40129,5,11.57,2987.0,254.79,5.0,70.8,95.13
Hyundai Grand i10 1.2 Kappa Sportz,Kochi,Petrol,Manual,First,10393,5,18.9,1197.0,81.86,5.0,6.03,6.62
Honda Amaze V CVT Petrol,Pune,Petrol,Automatic,First,1700,5,19.0,1199.0,88.76,5.0,7.8,9.44
Audi Q3 35 TDI Quattro Premium Plus,Coimbatore,Diesel,Automatic,First,58661,7,15.17,1968.0,181.0,5.0,28.03,48.64
Mahindra Xylo D4,Hyderabad,Diesel,Manual,First,169000,8,14.95,2489.0,93.7,7.0,5.0,11.69
Maruti Ciaz Zeta,Mumbai,Petrol,Manual,First,5500,6,21.56,1462.0,103.25,5.0,8.2,11.11
Maruti Wagon R LXI,Ahmedabad,Petrol,Manual,First,21002,13,22.5,998.0,67.04,5.0,2.75,4.74
Maruti Eeco 7 Seater Standard,Coimbatore,Petrol,Manual,First,28371,6,15.1,1196.0,73.0,7.0,4.74,4.98
Renault KWID Climber 1.0 MT,Delhi,Petrol,Manual,First,15000,6,21.7,999.0,67.0,5.0,4.25,4.98
Honda WRV i-VTEC VX,Kochi,Petrol,Manual,First,15135,5,17.5,1199.0,88.7,5.0,9.29,10.57
Maruti Wagon R VXI AMT,Coimbatore,Petrol,Automatic,First,37832,6,22.5,998.0,67.0,5.0,5.23,6.33
Hyundai Grand i10 1.2 Kappa Asta,Coimbatore,Petrol,Manual,First,43041,7,18.9,1197.0,81.86,5.0,6.01,8.1
Hyundai Grand i10 1.2 Kappa Magna,Kolkata,Petrol,Manual,First,31184,6,18.9,1197.0,81.86,5.0,5.0,6.4
Maruti Dzire AMT ZDI Plus,Pune,Diesel,Automatic,First,41747,6,28.4,1248.0,73.75,5.0,9.0,11.26
Toyota Etios Liva 1.2 VX Dual Tone,Coimbatore,Petrol,Manual,First,20877,4,18.16,1197.0,78.9,5.0,7.27,7.59
Maruti Swift VXI,Mumbai,Petrol,Manual,First,23555,7,22.0,1197.0,81.8,5.0,5.1,7.0
Volkswagen Polo GT TSI,Mumbai,Petrol,Automatic,First,28000,7,17.21,1197.0,103.5,5.0,7.25,11.26
Tata Bolt Quadrajet XE,Hyderabad,Diesel,Manual,First,40000,6,22.95,1248.0,74.0,5.0,5.25,7.43
Hyundai Elantra 1.6 SX Option AT,Ahmedabad,Diesel,Automatic,First,49000,9,18.23,1582.0,126.2,5.0,8.9,22.43
Jeep Compass 2.0 Limited Option Black,Mumbai,Diesel,Manual,First,7000,6,17.1,1956.0,170.0,5.0,17.45,24.02
Toyota Corolla Altis 1.8 GL,Kochi,Petrol,Manual,First,83184,11,14.28,1798.0,138.03,5.0,6.22,21.69
Mercedes-Benz GLE 350d,Coimbatore,Diesel,Automatic,First,33552,6,11.57,2987.0,254.79,5.0,64.87,95.13
Mercedes-Benz A Class A180 Sport,Mumbai,Petrol,Automatic,First,17000,7,15.5,1595.0,122.0,5.0,17.25,34.63
Hyundai Grand i10 1.2 Kappa Magna,Kochi,Petrol,Manual,First,46493,5,18.9,1197.0,81.86,5.0,5.53,6.32
BMW 3 Series 320d,Ahmedabad,Diesel,Automatic,Second,100000,12,22.69,1995.0,190.0,5.0,10.9,43.31
Maruti Eeco 7 Seater Standard,Mumbai,Petrol,Manual,First,34669,9,15.1,1196.0,73.0,7.0,2.9,4.71
Toyota Innova Crysta 2.8 GX AT,Kochi,Diesel,Automatic,First,10601,4,11.36,2755.0,171.5,7.0,19.65,20.74
Mercedes-Benz GLS 350d Grand Edition,Delhi,Diesel,Automatic,First,6000,5,11.0,2987.0,258.0,7.0,79.0,102.0
Hyundai Grand i10 1.2 Kappa Sportz,Delhi,Petrol,Manual,First,9434,5,18.9,1197.0,81.86,5.0,5.75,6.71
Volkswagen Ameo 1.2 MPI Highline,Coimbatore,Petrol,Manual,First,35569,5,17.0,1198.0,73.75,5.0,7.27,8.68
Toyota Fortuner 2.8 2WD AT,Ahmedabad,Diesel,Automatic,First,15000,6,12.9,2755.0,174.5,7.0,30.0,34.45
Maruti Dzire VDI,Delhi,Diesel,Manual,First,45376,7,28.4,1248.0,73.75,5.0,5.75,8.58
Ford EcoSport 1.5 Diesel Titanium Plus,Kochi,Diesel,Manual,First,78526,6,23.0,1498.0,98.96,5.0,8.09,12.67
BMW X1 sDrive 20d xLine,Coimbatore,Diesel,Automatic,Second,42265,8,20.68,1995.0,190.0,5.0,22.24,48.18
Ford EcoSport 1.5 Diesel Titanium,Mumbai,Diesel,Manual,First,26000,6,23.0,1498.0,98.96,5.0,8.99,11.89
Maruti Dzire ZDI Plus,Jaipur,Diesel,Manual,First,24000,6,28.4,1248.0,73.75,5.0,8.2,10.48
Hyundai Verna VTVT 1.6 SX Option,Delhi,Petrol,Manual,Second,57478,10,17.0,1591.0,121.3,5.0,5.25,13.59
Maruti Vitara Brezza ZDi,Hyderabad,Diesel,Manual,First,41372,7,24.3,1248.0,88.5,5.0,9.3,11.02
Mercedes-Benz GLA Class 200 d Sport,Pune,Diesel,Automatic,First,35000,6,17.9,2143.0,136.0,5.0,23.5,41.94
Maruti Dzire VDI,Mumbai,Diesel,Manual,Second,74000,11,28.4,1248.0,73.75,5.0,4.25,8.94
Jeep Compass 2.0 Longitude,Kochi,Diesel,Manual,First,28937,5,17.1,1956.0,170.0,5.0,17.02,21.38
Toyota Corolla Altis 1.4 DG,Coimbatore,Diesel,Manual,First,63854,10,21.43,1364.0,86.79,5.0,7.12,19.27
Maruti Vitara Brezza ZDi Plus AMT Dual Tone,Chennai,Diesel,Automatic,First,3000,5,24.3,1248.0,88.5,5.0,11.25,12.88
Hyundai Xcent 1.2 VTVT SX,Mumbai,Petrol,Manual,First,64241,9,20.14,1197.0,81.86,5.0,3.67,8.27
BMW X1 sDrive 20d xLine,Bangalore,Diesel,Automatic,First,28143,7,20.68,1995.0,190.0,5.0,28.5,48.18
Toyota Innova Crysta 2.4 VX MT,Hyderabad,Diesel,Manual,First,67000,6,13.68,2393.0,147.8,7.0,16.5,22.87
Hyundai Grand i10 1.2 Kappa Magna AT,Kochi,Petrol,Automatic,First,5354,5,18.9,1197.0,81.86,5.0,6.76,7.37
Volkswagen Polo 1.0 MPI Comfortline,Chennai,Petrol,Manual,Second,42000,7,18.78,999.0,75.0,5.0,5.5,7.33
Maruti Eeco 7 Seater Standard,Coimbatore,Petrol,Manual,First,54885,10,15.1,1196.0,73.0,7.0,3.75,4.98
Toyota Innova Crysta 2.4 VX MT,Mumbai,Diesel,Manual,First,25121,7,13.68,2393.0,147.8,7.0,17.11,23.06
Mahindra Bolero SLE,Hyderabad,Diesel,Manual,First,75000,11,15.96,2523.0,62.1,7.0,4.3,10.32
Maruti Ignis 1.2 Alpha,Mumbai,Petrol,Manual,First,1000,6,20.89,1197.0,81.8,5.0,6.36,7.87
BMW 7 Series 730Ld Eminence,Kochi,Diesel,Automatic,Second,29966,8,16.77,2993.0,261.49,5.0,43.6,140.0
Jeep Compass 2.0 Longitude,Coimbatore,Diesel,Manual,First,33218,5,17.1,1956.0,170.0,5.0,19.05,22.46
Mini Cooper 5 DOOR D,Hyderabad,Diesel,Automatic,First,2000,6,20.7,1496.0,113.98,5.0,34.0,42.48
Tata Zest Revotron 1.2T XMS,Chennai,Petrol,Manual,First,40000,8,17.57,1193.0,88.7,5.0,4.0,7.69
Ford Aspire Titanium Plus Diesel,Kolkata,Diesel,Manual,First,2800,8,26.1,1498.0,99.0,5.0,8.41,9.4
Hyundai Grand i10 1.2 Kappa Asta,Coimbatore,Petrol,Manual,First,37429,7,18.9,1197.0,81.86,5.0,5.89,8.1
Honda City i-VTEC V,Delhi,Petrol,Manual,First,67031,12,17.4,1497.0,117.3,5.0,4.0,11.85
Maruti Celerio VXI AMT,Mumbai,Petrol,Automatic,First,47691,7,23.1,998.0,67.04,5.0,3.94,6.08
Maruti Dzire VDI,Kolkata,Diesel,Manual,First,28193,8,28.4,1248.0,73.75,5.0,5.25,8.36
Mercedes-Benz SLC 43 AMG,Coimbatore,Petrol,Automatic,First,2526,4,19.0,2996.0,362.07,2.0,83.96,106.0
Mercedes-Benz E-Class E 220 d,Hyderabad,Diesel,Automatic,First,85000,10,16.1,1950.0,194.0,5.0,21.0,71.15
Hyundai Grand i10 1.2 Kappa Sportz,Ahmedabad,Petrol,Manual,First,20780,8,18.9,1197.0,81.86,5.0,4.3,6.82
Mercedes-Benz GLE 250d,Kochi,Diesel,Automatic,First,25601,6,17.9,2143.0,201.15,5.0,56.73,78.76
Ford Freestyle Titanium Petrol,Mumbai,Petrol,Manual,First,1261,16,19.0,1194.0,94.68,5.0,6.0,8.12
Hyundai Elite i20 Asta Option,Coimbatore,Petrol,Manual,First,59450,6,18.6,1197.0,81.86,5.0,7.53,9.78
Maruti Baleno Delta,Mumbai,Petrol,Manual,First,12573,7,21.4,1197.0,83.1,5.0,5.8,7.36
Toyota Fortuner 2.8 2WD AT,Pune,Diesel,Automatic,First,29000,6,12.9,2755.0,174.5,7.0,31.0,38.11
Maruti Ertiga ZDI,Delhi,Diesel,Manual,First,68000,10,25.47,1248.0,88.5,7.0,4.85,11.75
Maruti Swift VDI,Hyderabad,Diesel,Manual,First,84000,10,28.4,1248.0,74.0,5.0,5.65,8.44
Hyundai Creta 1.6 SX Option,Delhi,Petrol,Manual,First,24347,7,15.8,1591.0,121.3,5.0,11.0,16.06
Honda City i-VTEC CVT VX,Mumbai,Petrol,Automatic,First,17000,6,18.0,1497.0,117.3,5.0,11.6,15.29
Honda Brio 1.2 VX MT,Kochi,Petrol,Manual,First,41460,9,18.5,1198.0,86.8,5.0,3.95,6.63
Land Rover Discovery HSE Luxury 3.0 TD6,Mumbai,Diesel,Automatic,First,35000,6,18.0,2993.0,255.0,7.0,41.6,127.0
Toyota Fortuner 2.8 4WD MT,Bangalore,Diesel,Manual,First,150386,8,14.24,2755.0,174.5,7.0,23.0,39.6
Maruti Vitara Brezza ZDi Plus,Ahmedabad,Diesel,Manual,First,80000,6,24.3,1248.0,88.5,5.0,8.0,10.91
Hyundai Tucson 2.0 Dual VTVT 2WD AT GL,Mumbai,Petrol,Automatic,First,13000,7,12.95,1999.0,152.88,5.0,17.75,25.75
Maruti Wagon R VXI,Kolkata,Petrol,Manual,First,16956,7,22.5,998.0,67.04,5.0,3.6,5.29
Maruti Wagon R VXI,Mumbai,Petrol,Manual,Second,38000,13,22.5,998.0,67.04,5.0,1.75,5.61
Honda Brio 1.2 VX AT,Mumbai,Petrol,Automatic,First,20000,6,16.5,1198.0,86.8,5.0,5.99,8.05
Toyota Etios Cross 1.4L GD,Kochi,Diesel,Manual,First,36681,7,23.59,1364.0,67.06,5.0,6.71,8.82
Honda City i-VTEC CVT ZX,Coimbatore,Petrol,Automatic,First,20300,5,18.0,1497.0,117.3,5.0,14.21,17.38
Maruti Celerio ZXI MT,Kochi,Petrol,Manual,First,21799,6,23.1,998.0,67.04,5.0,5.11,5.69
Toyota Innova Crysta 2.8 ZX AT,Hyderabad,Diesel,Automatic,First,35358,6,11.36,2755.0,171.5,7.0,22.99,26.56
Tata Tiago 1.2 Revotron XT,Jaipur,Petrol,Manual,First,42700,7,23.84,1199.0,84.0,5.0,3.6,5.61
Toyota Fortuner 2.8 4WD MT,Hyderabad,Diesel,Manual,First,110000,13,14.24,2755.0,174.5,7.0,13.7,37.51
Maruti Wagon R VXI 1.2,Mumbai,Petrol,Manual,First,55000,8,21.5,1197.0,81.8,5.0,3.1,5.88
Honda City i-DTEC ZX,Hyderabad,Diesel,Manual,First,46000,6,25.6,1498.0,98.6,5.0,12.9,16.95
BMW 5 Series 520d Luxury Line,Ahmedabad,Diesel,Automatic,Second,95000,11,22.48,1995.0,190.0,5.0,17.5,63.71
Ford EcoSport 1.5 Diesel Titanium,Delhi,Diesel,Manual,First,39000,6,23.0,1498.0,98.96,5.0,8.45,11.47
Toyota Fortuner 2.8 4WD MT,Mumbai,Diesel,Manual,First,140000,13,14.24,2755.0,174.5,7.0,10.75,37.46
Maruti Swift VDI,Kochi,Diesel,Manual,First,62192,7,28.4,1248.0,74.0,5.0,5.22,7.88
Maruti Ciaz Alpha,Kochi,Petrol,Manual,First,38394,5,21.56,1462.0,103.25,5.0,9.18,11.37
Hyundai Elantra 2.0 SX Option AT,Delhi,Petrol,Automatic,First,28000,7,14.62,1999.0,149.92,5.0,13.9,21.77
Volkswagen Vento 1.5 TDI Trendline,Mumbai,Diesel,Manual,First,47000,12,20.64,1498.0,108.5,5.0,3.25,11.3
Mercedes-Benz E-Class E 350 d,Coimbatore,Diesel,Automatic,First,9312,4,18.0,2987.0,258.0,5.0,78.8,92.5
Hyundai Elantra 2.0 SX Option AT,Coimbatore,Petrol,Automatic,First,58239,8,14.62,1999.0,149.92,5.0,9.69,23.64
Nissan Terrano XL D Option,Mumbai,Diesel,Manual,First,51000,9,19.87,1461.0,83.14,5.0,5.65,15.06
Toyota Fortuner 2.8 2WD AT,Ahmedabad,Diesel,Automatic,Second,88008,7,12.9,2755.0,174.5,7.0,22.5,34.45
Mercedes-Benz GLA Class 200 d Sport,Mumbai,Diesel,Automatic,First,10000,5,17.9,2143.0,136.0,5.0,28.9,41.94
Mini Cooper Convertible S,Chennai,Petrol,Automatic,Second,17000,11,16.82,1998.0,189.08,4.0,22.0,44.28
Mini Cooper 3 DOOR S,Mumbai,Petrol,Automatic,First,21000,10,17.44,1998.0,189.08,4.0,21.5,39.57
Skoda Rapid 1.6 MPI AT Ambition,Mumbai,Petrol,Automatic,First,32000,6,14.84,1598.0,103.52,5.0,8.11,13.7
Maruti Ertiga VDI,Delhi,Diesel,Manual,First,65000,6,25.47,1248.0,88.5,7.0,7.65,11.16
Ford EcoSport 1.5 Petrol Trend,Kolkata,Petrol,Manual,First,21460,7,17.0,1497.0,121.36,5.0,6.0,9.47
Honda Jazz V CVT,Hyderabad,Petrol,Automatic,First,33000,8,19.0,1199.0,88.7,5.0,7.25,10.17
Maruti Vitara Brezza ZDi Plus,Jaipur,Diesel,Manual,First,48324,6,24.3,1248.0,88.5,5.0,9.0,11.47
Hyundai Grand i10 1.2 CRDi Sportz,Kochi,Diesel,Manual,First,20773,6,24.0,1186.0,73.97,5.0,5.92,8.17
Volkswagen Polo 1.5 TDI Highline,Kolkata,Diesel,Manual,First,22000,7,20.14,1498.0,88.0,5.0,6.29,9.58
BMW 3 Series 320d,Mumbai,Diesel,Automatic,First,25000,10,22.69,1995.0,190.0,5.0,17.99,47.87
Mahindra Xylo H4,Chennai,Diesel,Manual,Second,82000,8,14.02,2179.0,118.3,7.0,4.85,11.67
Maruti Dzire VDI,Hyderabad,Diesel,Manual,First,110000,12,28.4,1248.0,73.75,5.0,4.0,9.14
Volkswagen Polo 1.5 TDI Highline,Delhi,Diesel,Manual,First,68038,11,20.14,1498.0,88.0,5.0,3.6,9.96
BMW 5 Series 520d Luxury Line,Ahmedabad,Diesel,Automatic,First,55000,10,22.48,1995.0,190.0,5.0,21.75,63.71
Mercedes-Benz GLC 220d 4MATIC Sport,Mumbai,Diesel,Automatic,First,25000,6,17.9,2143.0,170.0,5.0,45.0,64.14
Maruti Alto K10 VXI,Coimbatore,Petrol,Manual,Second,46808,12,24.07,998.0,67.1,5.0,3.19,4.7
Hyundai Xcent 1.2 VTVT S,Coimbatore,Petrol,Manual,First,65743,8,20.14,1197.0,81.86,5.0,6.2,7.85
Hyundai Creta 1.6 SX Option,Mumbai,Petrol,Manual,First,29477,7,15.8,1591.0,121.3,5.0,10.25,16.36
Toyota Fortuner 2.8 2WD AT,Delhi,Diesel,Automatic,First,40000,6,12.9,2755.0,174.5,7.0,30.0,37.38
Ford EcoSport 1.5 Diesel Titanium,Mumbai,Diesel,Manual,First,30000,6,23.0,1498.0,98.96,5.0,8.99,11.89
Tata Zest Revotron 1.2T XE,Delhi,Petrol,Manual,Second,47000,6,17.57,1193.0,88.7,5.0,4.5,6.62
Maruti Vitara Brezza ZDi Plus Dual Tone,Kochi,Diesel,Manual,First,45362,6,24.3,1248.0,88.5,5.0,9.38,11.75
Tata Hexa XTA,Coimbatore,Diesel,Automatic,First,14233,4,17.6,2179.0,153.86,7.0,17.85,22.74
Skoda Superb Style 1.8 TSI AT,Mumbai,Petrol,Automatic,Second,62004,13,14.67,1798.0,177.46,5.0,3.75,33.36
Volkswagen Vento 1.5 TDI Highline AT,Mumbai,Diesel,Automatic,First,25500,7,21.5,1498.0,108.5,5.0,8.95,15.86
Mercedes-Benz E-Class E 220 d,Mumbai,Diesel,Automatic,First,11000,5,16.1,1950.0,194.0,5.0,56.5,70.55
BMW 3 Series 320d Luxury Line,Mumbai,Diesel,Automatic,Second,18600,9,22.69,1995.0,190.0,5.0,21.0,54.43
Land Rover Discovery SE 3.0 TD6,Delhi,Diesel,Automatic,First,59000,7,18.0,2993.0,255.0,7.0,36.75,112.99999999999999
Mercedes-Benz CLA 200 CDI Sport,Coimbatore,Diesel,Automatic,First,20969,6,17.9,2143.0,136.0,5.0,27.87,45.36
Maruti Vitara Brezza ZDi,Kolkata,Diesel,Manual,First,2900,5,24.3,1248.0,88.5,5.0,8.75,10.13
Skoda Rapid 1.5 TDI Ambition,Coimbatore,Diesel,Manual,First,5833,5,21.13,1498.0,108.4,5.0,11.92,14.22
Mahindra NuvoSport N8,Coimbatore,Diesel,Manual,First,37712,6,17.45,1493.0,100.0,7.0,7.57,11.77
Datsun redi-GO T Option,Kochi,Petrol,Manual,First,30953,5,22.7,799.0,53.64,5.0,3.48,4.05
Jeep Compass 2.0 Limited 4X4,Coimbatore,Diesel,Manual,First,48188,5,16.3,1956.0,170.0,5.0,21.69,26.95
Toyota Innova Crysta 2.8 ZX AT,Coimbatore,Diesel,Automatic,First,65367,6,11.36,2755.0,171.5,7.0,20.14,28.05
Maruti Wagon R VXI AMT,Mumbai,Petrol,Automatic,First,8000,7,22.5,998.0,67.0,5.0,4.15,6.14
Maruti Alto K10 VXI,Mumbai,Petrol,Manual,First,13198,7,24.07,998.0,67.1,5.0,3.15,4.82
Tata Tiago AMT 1.2 Revotron XZA,Coimbatore,Petrol,Automatic,First,15379,4,23.84,1199.0,83.83,5.0,6.97,7.17
Mini Cooper Convertible S,Mumbai,Petrol,Automatic,First,15000,7,16.82,1998.0,189.08,4.0,35.0,44.28
Hyundai Verna CRDi 1.6 SX Option,Pune,Diesel,Manual,First,50000,6,22.0,1582.0,126.2,5.0,11.5,15.72
Renault Duster 85PS Diesel RxE,Pune,Diesel,Manual,First,54000,7,19.87,1461.0,83.8,5.0,6.5,11.27
Honda BRV i-VTEC V MT,Pune,Petrol,Manual,First,9200,7,15.4,1497.0,117.3,7.0,8.0,13.58
Honda Amaze S Diesel,Hyderabad,Diesel,Manual,First,29000,8,27.4,1498.0,98.6,5.0,5.99,9.09
Maruti Alto K10 VXI,Kochi,Petrol,Manual,First,46805,5,24.07,998.0,67.1,5.0,3.63,4.09
Tata Zest Revotron 1.2T XE,Mumbai,Petrol,Manual,First,100000,6,17.57,1193.0,88.7,5.0,4.25,6.83
Maruti Wagon R LXI,Kochi,Petrol,Manual,First,15466,12,22.5,998.0,67.04,5.0,3.36,5.04
BMW 3 Series 320d,Kolkata,Diesel,Automatic,First,70000,12,22.69,1995.0,190.0,5.0,10.3,43.81
Maruti Wagon R VXI,Kochi,Petrol,Manual,First,41994,9,22.5,998.0,67.04,5.0,3.41,5.12
Audi Q3 35 TDI Quattro Premium Plus,Bangalore,Diesel,Automatic,First,51000,8,15.17,1968.0,181.0,5.0,27.5,48.64
Maruti Wagon R VXI 1.2,Jaipur,Petrol,Manual,First,64876,8,21.5,1197.0,81.8,5.0,3.5,5.71
Maruti Vitara Brezza ZDi Plus Dual Tone,Coimbatore,Diesel,Manual,First,25299,6,24.3,1248.0,88.5,5.0,10.34,12.56
Honda Amaze V Petrol,Kochi,Petrol,Manual,First,40866,7,19.5,1199.0,86.76,5.0,5.47,8.16
Mini Cooper Convertible S,Kochi,Petrol,Automatic,First,20469,6,16.82,1998.0,189.08,4.0,35.98,44.28
Volkswagen Ameo 1.5 TDI Highline,Kochi,Diesel,Manual,First,31426,5,21.66,1498.0,108.62,5.0,7.9,9.72
Maruti Baleno Alpha CVT,Kochi,Petrol,Automatic,First,13574,4,21.4,1197.0,83.1,5.0,9.51,10.3
BMW 5 Series 520d Luxury Line,Ahmedabad,Diesel,Automatic,First,90000,10,22.48,1995.0,190.0,5.0,19.5,63.71
Maruti Vitara Brezza ZDi Plus,Kochi,Diesel,Manual,First,38426,6,24.3,1248.0,88.5,5.0,9.13,11.12
Maruti Eeco 7 Seater Standard,Pune,Petrol,Manual,First,45000,12,15.1,1196.0,73.0,7.0,2.25,4.69
Maruti Wagon R LXI,Mumbai,Petrol,Manual,First,37822,13,22.5,998.0,67.04,5.0,2.35,5.04
Toyota Innova Crysta 2.4 VX MT 8S,Coimbatore,Diesel,Manual,First,72202,6,13.68,2393.0,147.8,8.0,17.92,24.01
Mercedes-Benz GLE 350d,Coimbatore,Diesel,Automatic,First,30706,5,11.57,2987.0,254.79,5.0,59.29,95.13
Maruti Baleno Alpha,Mumbai,Petrol,Manual,First,12208,7,21.4,1197.0,83.1,5.0,6.75,8.78
Volkswagen Polo GT TSI,Mumbai,Petrol,Automatic,First,27853,6,17.21,1197.0,103.5,5.0,8.25,11.26
Hyundai Grand i10 1.2 Kappa Sportz,Kochi,Petrol,Manual,First,20689,5,18.9,1197.0,81.86,5.0,6.07,6.68
Renault KWID 1.0 RXT Optional AMT,Coimbatore,Petrol,Automatic,First,53285,6,22.5,999.0,67.0,5.0,4.28,5.42
Mercedes-Benz GLE 350d,Mumbai,Diesel,Automatic,First,19863,6,11.57,2987.0,254.79,5.0,64.95,91.23
Hyundai Grand i10 1.2 Kappa Sportz,Mumbai,Petrol,Manual,First,3958,5,18.9,1197.0,81.86,5.0,5.55,7.14
BMW X3 xDrive 20d Luxury Line,Hyderabad,Diesel,Automatic,First,58000,14,18.56,1995.0,190.0,5.0,17.98,69.59
Renault KWID 1.0 RXT Optional,Kochi,Petrol,Manual,First,18335,5,21.7,999.0,67.0,5.0,4.5,4.61
Volkswagen Polo GT TSI,Mumbai,Petrol,Automatic,First,25000,6,17.21,1197.0,103.5,5.0,7.75,11.26
Toyota Fortuner 2.8 2WD AT,Kochi,Diesel,Automatic,First,21719,4,12.9,2755.0,174.5,7.0,33.13,37.38
Renault KWID Climber 1.0 MT,Hyderabad,Petrol,Manual,First,4126,5,21.7,999.0,67.0,5.0,4.8,5.3
Tata Bolt Quadrajet XM,Hyderabad,Diesel,Manual,First,98500,6,22.95,1248.0,74.0,5.0,6.0,7.97
BMW 3 Series 320d,Coimbatore,Diesel,Automatic,First,103905,14,22.69,1995.0,190.0,5.0,9.92,43.31
Audi A6 35 TDI Matrix,Delhi,Diesel,Automatic,First,56000,9,18.53,1968.0,187.74,5.0,24.0,59.38
Volkswagen Vento 1.5 TDI Highline AT,Kochi,Diesel,Automatic,First,33550,6,21.5,1498.0,108.5,5.0,9.6,15.86
Audi A6 35 TDI Matrix,Hyderabad,Diesel,Automatic,First,62000,9,18.53,1968.0,187.74,5.0,25.0,67.1
Ford EcoSport 1.5 Petrol Titanium Plus AT,Coimbatore,Petrol,Automatic,First,27852,5,14.8,1497.0,121.36,5.0,10.44,14.1
