Car,Location,Fuel,Transmission,Owner,ODO,Age,Mileage,Engine,Power,Seats,SP,CP
Tata Nexon 1.5 Revotorq XZ Plus Dual Tone,Mumbai,Diesel,Manual,First,14000,5,21.5,1497.0,108.5,5.0,9.9,12.22
Isuzu MUX 4WD,Jaipur,Diesel,Automatic,First,34429,6,13.8,2999.0,174.57,7.0,20.0,33.68
Toyota Corolla Altis 1.4 DG,Ahmedabad,Diesel,Manual,First,52100,11,21.43,1364.0,86.79,5.0,6.5,19.27
Hyundai Grand i10 1.2 Kappa Sportz,Jaipur,Petrol,Manual,First,10000,5,18.9,1197.0,81.86,5.0,5.85,6.96
Jeep Compass 2.0 Limited 4X4,Coimbatore,Diesel,Manual,First,6261,4,16.3,1956.0,170.0,5.0,23.91,26.95
Maruti Ignis 1.2 AMT Alpha,Coimbatore,Petrol,Automatic,First,3906,4,20.89,1197.0,81.8,5.0,7.36,7.96
Toyota Innova Crysta 2.4 VX MT,Mumbai,Diesel,Manual,First,38000,6,13.68,2393.0,147.8,7.0,17.65,23.06
Toyota Platinum Etios 1.4 GXD,Hyderabad,Diesel,Manual,First,150000,8,23.59,1364.0,67.05,5.0,6.0,9.58
Toyota Innova Crysta 2.8 GX AT 8S,Delhi,Diesel,Automatic,First,18000,6,11.36,2755.0,171.5,8.0,18.25,20.8
Nissan Micra Active XV,Ahmedabad,Petrol,Manual,First,41000,7,19.69,1198.0,67.04,5.0,4.25,6.78
Jeep Compass 2.0 Sport,Hyderabad,Diesel,Manual,First,37000,6,17.1,1956.0,170.0,5.0,16.9,19.91
Tata Zest Quadrajet 1.3 75PS XM,Pune,Diesel,Manual,First,72000,6,22.95,1248.0,74.0,5.0,5.0,8.93
Maruti Dzire VXI,Hyderabad,Petrol,Manual,First,34900,10,22.0,1197.0,81.8,5.0,5.49,7.97
Maruti Wagon R LXI,Mumbai,Petrol,Manual,First,25422,9,22.5,998.0,67.04,5.0,3.25,5.04
Maruti Ertiga VDI,Mumbai,Diesel,Manual,First,14000,5,25.47,1248.0,88.5,7.0,9.25,11.66
Mahindra KUV 100 G80 K6 Plus 5Str,Kolkata,Petrol,Manual,First,43000,6,18.15,1198.0,82.0,5.0,4.5,7.35
Maruti Swift VXI,Pune,Petrol,Manual,First,68000,13,22.0,1197.0,81.8,5.0,2.8,6.99
Jeep Compass 2.0 Limited,Pune,Diesel,Manual,First,16039,5,17.1,1956.0,170.0,5.0,18.5,23.89
Maruti Swift LDI,Hyderabad,Diesel,Manual,First,52000,7,28.4,1248.0,74.0,5.0,5.95,7.27
Maruti Swift VDI,Kochi,Diesel,Manual,First,53500,8,28.4,1248.0,74.0,5.0,5.36,7.88
Hyundai Xcent 1.2 CRDi S,Mumbai,Diesel,Manual,First,50000,7,25.4,1186.0,73.97,5.0,3.5,8.84
BMW 3 Series 320d Luxury Line,Delhi,Diesel,Automatic,First,87000,4,22.69,1995.0,190.0,5.0,6.67,52.46
Mahindra Xylo H4,Coimbatore,Diesel,Manual,Second,93166,7,14.02,2179.0,118.3,7.0,5.85,11.67
Toyota Corolla Altis 1.8 VL CVT,Kolkata,Petrol,Automatic,First,5000,5,14.28,1798.0,138.03,5.0,16.95,22.37
Skoda Rapid 1.6 MPI Ambition,Mumbai,Petrol,Manual,First,39822,8,15.41,1598.0,103.52,5.0,4.68,12.02
Renault KWID RXL,Kochi,Petrol,Manual,Second,24214,6,25.17,799.0,53.3,5.0,3.46,3.95
BMW 3 Series 320d,Coimbatore,Diesel,Automatic,First,85846,10,22.69,1995.0,190.0,5.0,13.08,48.79
Maruti Vitara Brezza ZDi Plus Dual Tone,Kochi,Diesel,Manual,First,35981,6,24.3,1248.0,88.5,5.0,9.51,11.29
Porsche Cayenne Base,Kochi,Petrol,Automatic,First,14298,4,13.33,2995.0,340.0,5.0,2.02,136.0
Honda Brio 1.2 S MT,Mumbai,Petrol,Manual,First,22000,8,18.5,1198.0,86.8,5.0,3.95,6.23
Hyundai Grand i10 1.2 Kappa Magna AT,Coimbatore,Petrol,Automatic,First,12153,4,18.9,1197.0,81.86,5.0,6.84,7.98
Audi A4 30 TFSI Premium Plus,Kochi,Petrol,Automatic,First,61221,6,17.84,1395.0,147.51,5.0,21.73,47.16
Mini Cooper 5 DOOR D,Kochi,Diesel,Automatic,First,14857,4,20.7,1496.0,113.98,5.0,31.55,41.98
Ford Endeavour Titanium 4X2,Coimbatore,Diesel,Manual,First,14648,4,12.62,2198.0,158.0,7.0,27.36,35.29
Tata Zest Revotron 1.2T XM,Kochi,Petrol,Manual,First,48198,6,17.57,1193.0,88.7,5.0,4.65,7.63
Maruti Dzire LDI,Pune,Diesel,Manual,Third,150000,11,28.4,1248.0,73.75,5.0,2.25,7.91
Maruti Wagon R VXI,Chennai,Petrol,Manual,First,52000,9,22.5,998.0,67.04,5.0,3.45,5.51
Hyundai Grand i10 1.2 Kappa Asta,Coimbatore,Petrol,Manual,First,62788,6,18.9,1197.0,81.86,5.0,6.08,8.1
Toyota Innova Crysta 2.8 GX AT,Pune,Diesel,Automatic,First,20300,5,11.36,2755.0,171.5,7.0,18.0,20.97
Mini Cooper 3 DOOR D,Kochi,Diesel,Automatic,Second,27641,8,20.7,1496.0,113.98,4.0,24.77,34.89
Mahindra XUV500 W7,Delhi,Diesel,Manual,First,9000,5,14.0,2179.0,155.0,7.0,13.0,16.4
BMW 7 Series 730Ld Design Pure Excellence CBU,Kolkata,Diesel,Automatic,First,41100,11,16.77,2993.0,261.49,5.0,26.5,166.0
Honda City i-VTEC CVT VX,Mumbai,Petrol,Automatic,First,19000,8,18.0,1497.0,117.3,5.0,8.95,15.29
Honda City i-VTEC CVT VX,Jaipur,Petrol,Automatic,First,35000,6,18.0,1497.0,117.3,5.0,7.7,14.67
Honda City i-VTEC V,Mumbai,Petrol,Manual,First,11000,6,17.4,1497.0,117.3,5.0,8.5,12.57
Nissan Micra XV D,Chennai,Diesel,Manual,Second,93450,11,23.19,1461.0,63.12,5.0,2.5,9.48
Maruti Dzire ZDI,Ahmedabad,Diesel,Manual,First,56454,10,28.4,1248.0,73.75,5.0,4.65,8.95
Jeep Compass 2.0 Limited Option 4X4,Kolkata,Diesel,Manual,First,15050,6,16.3,1956.0,170.0,5.0,17.5,23.19
Ford Freestyle Titanium Plus Petrol,Kolkata,Petrol,Manual,First,8896,5,19.0,1194.0,94.68,5.0,7.34,8.24
Honda Jazz V,Mumbai,Petrol,Manual,First,31378,7,18.2,1199.0,88.7,5.0,5.9,8.71
Audi Q3 30 TDI Premium FWD,Mumbai,Diesel,Automatic,First,31000,6,18.51,1968.0,147.51,5.0,27.0,44.75
Mercedes-Benz E-Class E400 Cabriolet,Kolkata,Petrol,Automatic,First,7501,8,10.0,2996.0,333.0,4.0,48.0,87.57
Mercedes-Benz GLE 350d,Coimbatore,Diesel,Automatic,First,29277,5,11.57,2987.0,254.79,5.0,59.65,95.13
Maruti Baleno Delta CVT,Coimbatore,Petrol,Automatic,First,34630,5,21.4,1197.0,83.1,5.0,7.29,8.57
Mini Cooper 3 DOOR D,Kochi,Diesel,Automatic,First,32298,7,20.7,1496.0,113.98,4.0,23.8,35.0
Ford Aspire Ambiente Diesel,Kolkata,Diesel,Manual,First,17000,5,26.1,1498.0,99.0,5.0,5.65,7.56
Mercedes-Benz CLA 200 CDI Sport,Kochi,Diesel,Automatic,First,29836,4,17.9,2143.0,136.0,5.0,25.75,43.07
Toyota Etios Liva 1.4 GD,Delhi,Diesel,Manual,First,84000,10,23.59,1364.0,67.04,5.0,3.85,7.83
Maruti Celerio VXI AMT,Chennai,Petrol,Automatic,First,55000,8,23.1,998.0,67.04,5.0,3.5,6.0
Honda City i-VTEC VX,Mumbai,Petrol,Manual,First,7500,6,17.4,1497.0,117.3,5.0,11.15,13.76
Renault Duster 110PS Diesel RxZ AMT,Jaipur,Diesel,Automatic,First,68163,7,19.6,1461.0,108.45,5.0,8.9,14.11
Maruti Vitara Brezza LDi,Kochi,Diesel,Manual,First,35384,6,24.3,1248.0,88.5,5.0,8.61,9.12
Ford EcoSport 1.5 Diesel Titanium,Coimbatore,Diesel,Manual,First,32189,5,23.0,1498.0,98.96,5.0,9.25,11.2
BMW 3 Series 320d,Mumbai,Diesel,Automatic,Second,67000,13,22.69,1995.0,190.0,5.0,9.25,47.87
Maruti Vitara Brezza ZDi Plus,Coimbatore,Diesel,Manual,First,52380,5,24.3,1248.0,88.5,5.0,10.15,12.47
Toyota Etios Liva 1.2 G,Chennai,Petrol,Manual,Second,42000,12,17.71,1197.0,78.9,5.0,3.75,6.51
Honda WRV i-VTEC VX,Ahmedabad,Petrol,Manual,First,32248,6,17.5,1199.0,88.7,5.0,8.25,10.32
Hyundai Grand i10 1.2 Kappa Asta,Bangalore,Petrol,Manual,First,61325,9,18.9,1197.0,81.86,5.0,4.4,8.1
Honda Amaze S Petrol,Jaipur,Petrol,Manual,First,69000,9,19.5,1199.0,88.76,5.0,4.5,7.52
Volkswagen Vento 1.5 TDI Highline AT,Hyderabad,Diesel,Automatic,First,45492,7,21.5,1498.0,108.5,5.0,10.3,15.68
Hyundai Grand i10 1.2 Kappa Sportz,Coimbatore,Petrol,Manual,First,33496,9,18.9,1197.0,81.86,5.0,5.5,7.45
BMW 5 Series 520d Luxury Line,Delhi,Diesel,Automatic,First,65000,10,22.48,1995.0,190.0,5.0,21.26,67.87
Toyota Corolla Altis 1.8 G,Bangalore,Petrol,Manual,Second,16471,7,14.28,1798.0,138.03,5.0,11.5,20.48
Honda City i-VTEC CVT VX,Pune,Petrol,Automatic,First,4500,5,18.0,1497.0,117.3,5.0,12.5,15.17
Renault Duster 110PS Diesel RxZ AMT,Coimbatore,Diesel,Automatic,First,42646,6,19.6,1461.0,108.45,5.0,12.46,15.05
Maruti Swift VDI,Jaipur,Diesel,Manual,First,63310,8,28.4,1248.0,74.0,5.0,5.1,8.13
Honda Jazz V,Hyderabad,Petrol,Manual,First,37000,8,18.2,1199.0,88.7,5.0,6.3,8.79
Nissan Terrano XL D Option,Hyderabad,Diesel,Manual,First,65280,10,19.87,1461.0,83.14,5.0,5.8,14.72
Jeep Compass 2.0 Limited Option 4X4,Jaipur,Diesel,Manual,First,45000,6,16.3,1956.0,170.0,5.0,20.0,25.54
Honda City i-DTEC ZX,Pune,Diesel,Manual,First,42000,6,25.6,1498.0,98.6,5.0,12.0,16.84
Hyundai Grand i10 1.2 CRDi Sportz,Chennai,Diesel,Manual,First,48000,5,24.0,1186.0,73.97,5.0,5.95,8.28
Toyota Innova Crysta 2.4 VX MT,Coimbatore,Diesel,Manual,First,33598,4,13.68,2393.0,147.8,7.0,22.2,23.94
Mercedes-Benz CLA 200 CDI Sport,Kochi,Diesel,Automatic,First,13414,4,17.9,2143.0,136.0,5.0,30.77,43.07
Mahindra KUV 100 G80 K8,Jaipur,Petrol,Manual,First,15900,5,18.15,1198.0,82.0,6.0,6.25,7.88
Audi A6 35 TDI Matrix,Coimbatore,Diesel,Automatic,First,36824,6,18.53,1968.0,187.74,5.0,39.84,69.37
Maruti Baleno Zeta CVT,Kolkata,Petrol,Automatic,First,20000,7,21.4,1197.0,83.1,5.0,5.74,9.04
BMW 3 Series Luxury Line,Ahmedabad,Diesel,Automatic,First,27000,7,21.76,1995.0,190.0,5.0,35.0,55.07
Maruti Dzire AMT ZDI Plus,Chennai,Diesel,Automatic,First,19000,6,28.4,1248.0,73.75,5.0,8.9,10.97
Jeep Compass 2.0 Longitude,Kochi,Diesel,Manual,First,42203,5,17.1,1956.0,170.0,5.0,19.46,21.72
Tata Nexon 1.5 Revotorq XZ Plus Dual Tone,Kolkata,Diesel,Manual,First,4900,5,21.5,1497.0,108.5,5.0,9.22,11.47
Renault KWID RXT Optional,Pune,Petrol,Manual,First,5000,5,25.17,799.0,53.3,5.0,3.5,4.9
Toyota Fortuner 2.8 4WD MT,Kochi,Diesel,Manual,First,169006,12,14.24,2755.0,174.5,7.0,10.64,36.69
Honda Jazz V CVT,Mumbai,Petrol,Automatic,First,17978,6,19.0,1199.0,88.7,5.0,6.95,10.1
Maruti S-Cross Alpha DDiS 200 SH,Kolkata,Diesel,Manual,First,45296,7,25.1,1248.0,88.5,5.0,6.99,12.53
Tata Hexa XT,Pune,Diesel,Manual,First,39800,6,17.6,2179.0,153.86,7.0,14.25,20.87
Maruti Eeco 7 Seater Standard,Coimbatore,Petrol,Manual,First,42225,7,15.1,1196.0,73.0,7.0,4.3,4.98
Maruti Ignis 1.2 Delta,Kochi,Petrol,Manual,First,12076,4,20.89,1197.0,81.8,5.0,5.5,5.9
Volkswagen Polo GT TSI,Coimbatore,Petrol,Automatic,First,50534,6,17.21,1197.0,103.5,5.0,8.27,11.66
BMW 5 Series 520d Luxury Line,Ahmedabad,Diesel,Automatic,First,46000,13,22.48,1995.0,190.0,5.0,16.5,63.71
Mercedes-Benz GLC 220d 4MATIC Style,Coimbatore,Diesel,Automatic,First,29311,4,17.9,2143.0,170.0,5.0,50.97,64.57
BMW 3 Series Luxury Line,Mumbai,Diesel,Automatic,First,31000,7,21.76,1995.0,190.0,5.0,29.95,60.88
Ford EcoSport 1.5 Petrol Titanium Plus AT,Pune,Petrol,Automatic,First,14000,6,14.8,1497.0,121.36,5.0,9.99,13.23
Maruti Vitara Brezza ZDi Plus Dual Tone,Ahmedabad,Diesel,Manual,First,33000,6,24.3,1248.0,88.5,5.0,9.25,11.06
Nissan Terrano XV D Pre,Mumbai,Diesel,Manual,Second,60000,10,19.64,1461.0,108.5,5.0,5.45,17.21
Maruti Celerio ZXI AMT,Coimbatore,Petrol,Automatic,First,35225,6,23.1,998.0,67.04,5.0,5.25,6.56
BMW 3 Series 320d,Hyderabad,Diesel,Automatic,First,80000,13,22.69,1995.0,190.0,5.0,14.2,47.2
Hyundai Grand i10 1.2 Kappa Sportz,Coimbatore,Petrol,Manual,First,29091,7,18.9,1197.0,81.86,5.0,4.87,6.82
Maruti Vitara Brezza ZDi Plus Dual Tone,Coimbatore,Diesel,Manual,First,26927,6,24.3,1248.0,88.5,5.0,11.39,12.56
Maruti Vitara Brezza ZDi,Delhi,Diesel,Manual,First,35299,7,24.3,1248.0,88.5,5.0,8.0,10.14
Land Rover Range Rover Sport HSE,Kochi,Diesel,Automatic,First,38467,8,12.65,2993.0,255.0,5.0,70.66,160.0
Maruti Alto K10 VXI,Mumbai,Petrol,Manual,First,12000,6,24.07,998.0,67.1,5.0,3.25,4.82
Maruti Ciaz Zeta,Kochi,Petrol,Manual,First,10575,5,21.56,1462.0,103.25,5.0,9.18,11.11
Maruti Wagon R VXI 1.2,Kochi,Petrol,Manual,First,49818,8,21.5,1197.0,81.8,5.0,4.11,5.44
Toyota Innova Crysta 2.8 ZX AT,Kochi,Diesel,Automatic,First,26023,6,11.36,2755.0,171.5,7.0,19.97,26.55
Maruti Swift VDI,Pune,Diesel,Manual,First,115000,9,28.4,1248.0,74.0,5.0,4.5,8.26
Tata Zest Quadrajet 1.3 XT,Bangalore,Diesel,Manual,First,27768,6,20.65,1248.0,88.7,5.0,5.85,10.06
Maruti Alto K10 VXI,Chennai,Petrol,Manual,First,28300,12,24.07,998.0,67.1,5.0,2.15,4.5
Audi A6 35 TFSI Matrix,Delhi,Petrol,Automatic,First,22000,5,15.26,1798.0,187.74,5.0,41.5,56.97
Maruti Vitara Brezza ZDi Plus Dual Tone,Coimbatore,Diesel,Manual,First,28741,5,24.3,1248.0,88.5,5.0,11.0,12.56
Hyundai Verna VTVT 1.6 SX,Kolkata,Petrol,Manual,First,5000,5,17.0,1591.0,121.3,5.0,8.7,11.19
Maruti Ertiga ZDI Plus,Hyderabad,Diesel,Manual,First,42000,7,25.47,1248.0,88.5,7.0,9.9,13.33
Hyundai Verna VTVT 1.6 SX,Kochi,Petrol,Manual,First,32542,11,17.0,1591.0,121.3,5.0,5.77,11.67
BMW 3 Series 320d,Kochi,Diesel,Automatic,First,55598,11,22.69,1995.0,190.0,5.0,11.5,47.87
Maruti Dzire VDI,Jaipur,Diesel,Manual,First,77084,10,28.4,1248.0,73.75,5.0,4.95,8.75
Toyota Innova Crysta 2.8 GX AT 8S,Chennai,Diesel,Automatic,First,40000,7,11.36,2755.0,171.5,8.0,16.45,21.1
Maruti Baleno Alpha Diesel,Mumbai,Diesel,Manual,First,2000,5,27.39,1248.0,74.0,5.0,8.7,10.28
Skoda Superb Style 1.8 TSI AT,Mumbai,Petrol,Automatic,First,14500,7,14.67,1798.0,177.46,5.0,20.75,33.36
Maruti Ciaz Alpha,Mumbai,Petrol,Manual,First,19416,6,21.56,1462.0,103.25,5.0,8.25,11.56
Toyota Innova Crysta 2.8 ZX AT,Pune,Diesel,Automatic,Second,50296,7,11.36,2755.0,171.5,7.0,19.0,27.07
Jeep Compass 2.0 Longitude,Kochi,Diesel,Manual,First,26101,5,17.1,1956.0,170.0,5.0,17.55,21.38
Maruti Alto K10 LXI Optional,Pune,Petrol,Manual,First,7000,7,24.07,998.0,67.1,5.0,3.0,4.36
Honda Jazz Exclusive CVT,Mumbai,Petrol,Automatic,First,3000,5,19.0,1199.0,88.7,5.0,8.25,10.81
Nissan Sunny XE P,Coimbatore,Petrol,Manual,First,50297,11,16.95,1498.0,97.6,5.0,4.69,8.55
Toyota Corolla Altis 1.8 GL,Chennai,Petrol,Manual,Second,32000,14,14.28,1798.0,138.03,5.0,4.95,22.66
Maruti Alto K10 VXI,Jaipur,Petrol,Manual,First,51264,7,24.07,998.0,67.1,5.0,3.2,4.24
Mercedes-Benz CLA 200 CGI Sport,Delhi,Petrol,Automatic,First,40000,7,15.04,1991.0,183.0,5.0,24.5,41.02
Hyundai Creta 1.6 SX Automatic Diesel,Kolkata,Diesel,Automatic,First,14000,5,17.6,1582.0,126.2,5.0,11.25,17.0
Audi RS5 Coupe,Mumbai,Petrol,Automatic,First,23312,10,11.05,2894.0,444.0,4.0,40.5,128.0
BMW 5 Series 520d Luxury Line,Coimbatore,Diesel,Automatic,First,60280,9,22.48,1995.0,190.0,5.0,22.45,63.71
Land Rover Range Rover 3.0 Diesel LWB Vogue,Hyderabad,Diesel,Automatic,First,25000,6,13.33,2993.0,255.0,5.0,160.0,229.99999999999997
Maruti Baleno RS Petrol,Coimbatore,Petrol,Manual,First,26731,5,21.1,998.0,100.0,5.0,8.61,10.89
Toyota Camry Hybrid 2.5,Coimbatore,Petrol,Automatic,First,23249,6,19.16,2487.0,175.67,5.0,26.11,40.62
Hyundai Grand i10 1.2 Kappa Asta,Delhi,Petrol,Manual,First,10000,5,18.9,1197.0,81.86,5.0,6.5,7.54
Skoda Superb Style 1.8 TSI AT,Coimbatore,Petrol,Automatic,First,54253,7,14.67,1798.0,177.46,5.0,16.81,30.19
Maruti Wagon R VXI,Pune,Petrol,Manual,First,38958,9,22.5,998.0,67.04,5.0,3.41,5.56
Datsun redi-GO S,Chennai,Petrol,Manual,First,26239,7,22.7,799.0,53.0,5.0,2.75,4.43
Toyota Fortuner 2.8 2WD MT,Coimbatore,Diesel,Manual,First,56251,4,14.24,2755.0,174.5,7.0,35.82,37.17
Honda BR-V i-VTEC S MT,Bangalore,Petrol,Manual,First,34004,7,15.4,1497.0,117.3,7.0,8.02,12.9
Maruti Dzire VDI,Kochi,Diesel,Manual,First,54758,6,28.4,1248.0,73.75,5.0,6.67,8.58
Toyota Innova Crysta 2.8 ZX AT,Bangalore,Diesel,Automatic,First,53841,6,11.36,2755.0,171.5,7.0,20.5,28.05
Hyundai Creta 1.6 SX Option,Kochi,Petrol,Manual,Second,47183,6,15.8,1591.0,121.3,5.0,11.31,15.86
Datsun redi-GO T Option,Kochi,Petrol,Manual,First,6279,5,22.7,799.0,53.64,5.0,3.6,4.05
Hyundai Creta 1.6 SX Option Diesel,Coimbatore,Diesel,Manual,First,101065,6,20.5,1582.0,126.2,5.0,11.45,19.18
Maruti Baleno Delta,Kochi,Petrol,Manual,First,15134,6,21.4,1197.0,83.1,5.0,6.37,7.36
Maruti Ertiga VDI,Chennai,Diesel,Manual,Second,86000,7,25.47,1248.0,88.5,7.0,8.2,10.99
Honda City i-DTEC SV,Kolkata,Diesel,Manual,First,39000,8,25.6,1498.0,98.6,5.0,5.49,12.23
Volkswagen Vento 1.6 Highline,Jaipur,Petrol,Manual,First,33000,7,16.09,1598.0,103.5,5.0,7.7,11.63
Hyundai Verna VTVT 1.6 SX,Bangalore,Petrol,Manual,First,46676,9,17.0,1591.0,121.3,5.0,7.75,12.27
Maruti Alto K10 LXI,Kochi,Petrol,Manual,First,51349,9,24.07,998.0,67.1,5.0,2.93,3.91
Audi Q3 30 TDI Premium FWD,Coimbatore,Diesel,Automatic,First,22060,5,18.51,1968.0,147.51,5.0,32.73,44.8
Audi A4 35 TDI Premium Plus,Kochi,Diesel,Automatic,First,13506,8,18.25,1968.0,187.74,5.0,21.66,50.4
Renault KWID RXT Optional,Mumbai,Petrol,Manual,First,16000,7,25.17,799.0,53.3,5.0,2.99,4.78
Honda Amaze S Petrol,Kolkata,Petrol,Manual,First,32576,10,19.5,1199.0,88.76,5.0,3.15,7.36
Datsun redi-GO T Option,Coimbatore,Petrol,Manual,First,27509,6,22.7,799.0,53.64,5.0,3.31,4.04
Skoda Superb Style 1.8 TSI AT,Mumbai,Petrol,Automatic,First,53000,7,14.67,1798.0,177.46,5.0,17.85,33.36
Toyota Innova Crysta 2.8 ZX AT,Delhi,Diesel,Automatic,First,42000,7,11.36,2755.0,171.5,7.0,19.6,26.55
Maruti Wagon R VXI AMT,Mumbai,Petrol,Automatic,First,1997,5,22.5,998.0,67.0,5.0,4.45,6.14
Maruti Vitara Brezza ZDi Plus Dual Tone,Pune,Diesel,Manual,First,47300,7,24.3,1248.0,88.5,5.0,8.85,11.96
Maruti Ertiga VDI,Coimbatore,Diesel,Manual,First,53817,9,25.47,1248.0,88.5,7.0,7.56,11.44
Toyota Innova Crysta 2.8 ZX AT,Ahmedabad,Diesel,Automatic,First,42388,7,11.36,2755.0,171.5,7.0,18.0,24.63
BMW X1 xDrive 20d M Sport,Kolkata,Diesel,Automatic,First,27001,6,20.68,1995.0,190.0,5.0,29.0,50.26
Hyundai Grand i10 1.2 Kappa Sportz,Coimbatore,Petrol,Manual,First,38712,6,18.9,1197.0,81.86,5.0,5.87,7.45
Maruti Swift ZXI Plus,Ahmedabad,Petrol,Manual,First,2000,5,22.0,1197.0,81.8,5.0,7.75,8.16
Toyota Innova Crysta 2.4 VX MT 8S,Coimbatore,Diesel,Manual,First,31271,4,13.68,2393.0,147.8,8.0,21.42,24.01
Skoda Rapid 1.5 TDI Ambition,Mumbai,Diesel,Manual,First,54500,11,21.13,1498.0,108.4,5.0,4.1,13.72
Toyota Innova Crysta 2.4 ZX MT,Ahmedabad,Diesel,Manual,First,54000,7,13.68,2393.0,147.8,7.0,16.5,23.14
Tata Tiago 1.2 Revotron XZ WO Alloy,Hyderabad,Petrol,Manual,First,16500,6,23.84,1199.0,84.0,5.0,5.0,6.29
Honda Amaze V Petrol,Jaipur,Petrol,Manual,First,6000,5,19.5,1199.0,86.76,5.0,6.7,8.18
Maruti Wagon R LXI,Mumbai,Petrol,Manual,First,12000,13,22.5,998.0,67.04,5.0,2.45,5.04
Hyundai Grand i10 1.2 Kappa Magna,Kolkata,Petrol,Manual,First,4500,5,18.9,1197.0,81.86,5.0,4.8,6.4
Hyundai Grand i10 1.2 Kappa Asta,Kochi,Petrol,Manual,First,51223,6,18.9,1197.0,81.86,5.0,5.66,7.48
Ford Mustang V8,Kochi,Petrol,Automatic,First,21290,5,13.0,4951.0,395.0,4.0,56.8,83.92
Toyota Innova Crysta 2.8 GX AT,Kochi,Diesel,Automatic,First,14076,4,11.36,2755.0,171.5,7.0,19.4,20.74
Hyundai Grand i10 1.2 Kappa Asta,Hyderabad,Petrol,Manual,First,22500,6,18.9,1197.0,81.86,5.0,5.99,7.82
Honda Amaze S Diesel,Kolkata,Diesel,Manual,First,46500,10,27.4,1498.0,98.6,5.0,3.3,8.54
Maruti Wagon R VXI,Jaipur,Petrol,Manual,First,39867,6,22.5,998.0,67.04,5.0,4.5,5.44
Skoda Superb Style 2.0 TDI AT,Mumbai,Diesel,Automatic,First,19000,8,18.19,1968.0,174.5,5.0,15.5,36.94
Volkswagen Vento 1.5 TDI Comfortline,Kolkata,Diesel,Manual,First,34000,11,20.64,1498.0,108.5,5.0,3.4,11.16
Hyundai Verna VTVT 1.6 SX Option,Kochi,Petrol,Manual,First,52378,7,17.0,1591.0,121.3,5.0,7.97,13.6
Maruti Dzire AMT ZDI Plus,Kochi,Diesel,Automatic,First,64035,5,28.4,1248.0,73.75,5.0,8.55,10.7
Maruti Eeco 7 Seater Standard,Chennai,Petrol,Manual,First,55000,7,15.1,1196.0,73.0,7.0,3.75,4.87
Mitsubishi Pajero Sport 4X4,Coimbatore,Diesel,Manual,First,53497,8,13.5,2477.0,175.56,7.0,16.42,34.6
Mercedes-Benz GLE 350d,Chennai,Diesel,Automatic,First,29000,7,11.57,2987.0,254.79,5.0,65.0,92.79
Maruti Wagon R VXI AMT,Kolkata,Petrol,Automatic,First,17000,6,22.5,998.0,67.0,5.0,3.95,5.8
BMW 3 Series 320d,Mumbai,Diesel,Automatic,First,51000,12,22.69,1995.0,190.0,5.0,10.5,47.87
BMW 5 Series 520d Luxury Line,Coimbatore,Diesel,Automatic,First,51602,12,22.48,1995.0,190.0,5.0,17.27,63.71
BMW 3 Series Luxury Line,Pune,Diesel,Automatic,Second,70000,7,21.76,1995.0,190.0,5.0,27.0,62.11
Honda Jazz V,Kochi,Petrol,Manual,First,36973,6,18.2,1199.0,88.7,5.0,6.8,8.71
Maruti Wagon R VXI,Mumbai,Petrol,Manual,First,43628,9,22.5,998.0,67.04,5.0,3.16,5.61
Maruti Vitara Brezza ZDi Plus AMT Dual Tone,Chennai,Diesel,Automatic,First,3300,5,24.3,1248.0,88.5,5.0,11.5,12.88
Maruti Alto K10 LXI,Delhi,Petrol,Manual,First,35027,7,24.07,998.0,67.1,5.0,3.0,3.91
Maruti Vitara Brezza ZDi,Bangalore,Diesel,Manual,First,45000,6,24.3,1248.0,88.5,5.0,9.75,11.0
BMW X1 sDrive 20d xLine,Coimbatore,Diesel,Automatic,First,15456,4,20.68,1995.0,190.0,5.0,36.64,48.18
Hyundai Grand i10 1.2 CRDi Asta,Kochi,Diesel,Manual,First,81828,8,24.0,1186.0,73.97,5.0,5.43,8.68
Renault KWID 1.0 RXT Optional,Jaipur,Petrol,Manual,First,26000,7,21.7,999.0,67.0,5.0,3.0,4.78
